Invoice_ID,Order_Date,Client_ID,Client_Tier,Industry,City,Sales_Channel,Product_Category,Units_Sold,Revenue,Cost,Profit
INV000001,2025-04-07,CL0059,Silver,Healthcare,Chennai,Direct Sales,Subscription,17,9828.44,5382.51,4445.93
INV000002,2023-07-03,CL0108,Silver,Technology,Mumbai,Partner,Hardware,5,23490.23,7441.27,16048.96
INV000003,2025-08-03,CL0087,Bronze,Finance,Delhi,Online,Subscription,11,16683.91,12779.51,3904.4
INV000004,2025-04-04,CL0109,Silver,Technology,Pune,Online,Subscription,17,1544.96,864.22,680.74
INV000005,2024-02-10,CL0092,Silver,Healthcare,Delhi,Online,Subscription,20,15334.97,13484.72,1850.25
INV000006,2023-12-30,CL0010,Bronze,Retail,Bangalore,Direct Sales,Subscription,3,23625.81,9972.43,13653.38
INV000007,2025-05-21,CL0159,Bronze,Manufacturing,Hyderabad,Online,Subscription,7,15984.36,2227.33,13757.03
INV000008,2023-04-24,CL0140,Platinum,Healthcare,Hyderabad,Partner,Subscription,2,16190.62,6566.21,9624.41
INV000009,2023-09-26,CL0200,Silver,Finance,Mumbai,Online,Software,4,18594.58,10831.78,7762.8
INV000010,2023-10-22,CL0105,Silver,Healthcare,Pune,Direct Sales,Subscription,8,7751.36,6916.06,835.3
INV000011,2024-06-11,CL0048,Bronze,Finance,Hyderabad,Online,Software,11,3371.73,2530.99,840.74
INV000012,2024-03-19,CL0208,Platinum,Manufacturing,Mumbai,Direct Sales,Software,6,9735.87,3083.38,6652.49
INV000013,2023-03-18,CL0103,Platinum,Healthcare,Hyderabad,Partner,Hardware,10,23114.39,10880.57,12233.82
INV000014,2023-08-05,CL0056,Silver,Manufacturing,Hyderabad,Direct Sales,Software,15,21918.64,10866.73,11051.91
INV000015,2025-05-12,CL0129,Gold,Technology,Mumbai,Partner,Hardware,9,24113.26,3991.95,20121.31
INV000016,2025-06-01,CL0169,Silver,Technology,Mumbai,Partner,Subscription,7,22098.68,6258.12,15840.56
INV000017,2025-02-16,CL0002,Gold,Technology,Bangalore,Partner,Hardware,9,8752.75,1717.51,7035.24
INV000018,2025-05-03,CL0060,Platinum,Technology,Delhi,Direct Sales,Software,4,18703.9,13020.88,5683.02
INV000019,2025-10-24,CL0080,Silver,Finance,Mumbai,Online,Services,14,13527.84,215.48,13312.36
INV000020,2025-08-16,CL0197,Gold,Healthcare,Delhi,Online,Software,10,14229.14,8091.2,6137.94
INV000021,2023-06-04,CL0107,Gold,Technology,Pune,Partner,Services,7,14722.52,12743.11,1979.41
INV000022,2023-07-25,CL0103,Silver,Technology,Mumbai,Direct Sales,Hardware,5,24799.61,11945.57,12854.04
INV000023,2025-07-03,CL0100,Platinum,Finance,Delhi,Online,Services,9,21764.15,10480.67,11283.48
INV000024,2024-03-01,CL0228,Platinum,Healthcare,Mumbai,Partner,Subscription,6,7202.66,3797.7,3404.96
INV000025,2023-06-03,CL0134,Bronze,Retail,Hyderabad,Direct Sales,Software,11,13525.76,12139.47,1386.29
INV000026,2023-01-09,CL0163,Bronze,Finance,Hyderabad,Direct Sales,Services,6,14455.64,7027.92,7427.72
INV000027,2023-10-06,CL0010,Bronze,Technology,Pune,Online,Services,6,14909.5,827.73,14081.77
INV000028,2025-06-18,CL0059,Silver,Retail,Mumbai,Online,Services,9,1908.91,1376.51,532.4
INV000029,2025-01-17,CL0199,Silver,Technology,Delhi,Partner,Software,4,2230.81,1860.95,369.86
INV000030,2023-09-15,CL0023,Bronze,Finance,Delhi,Direct Sales,Hardware,12,20714.28,2422.92,18291.36
INV000031,2024-04-19,CL0157,Silver,Technology,Chennai,Direct Sales,Subscription,7,15567.11,10703.55,4863.56
INV000032,2024-09-21,CL0128,Bronze,Healthcare,Mumbai,Partner,Software,8,4899.6,667.84,4231.76
INV000033,2025-06-28,CL0228,Bronze,Healthcare,Bangalore,Direct Sales,Services,9,18458.58,9116.34,9342.24
INV000034,2024-10-03,CL0006,Gold,Healthcare,Bangalore,Online,Services,18,14937.77,7939.05,6998.72
INV000035,2024-08-28,CL0206,Bronze,Retail,Hyderabad,Online,Services,11,7607.51,3473.15,4134.36
INV000036,2024-10-31,CL0097,Gold,Finance,Bangalore,Partner,Hardware,1,20234.47,14537.39,5697.08
INV000037,2024-08-14,CL0184,Silver,Healthcare,Pune,Direct Sales,Software,7,18604.25,6402.68,12201.57
INV000038,2024-05-10,CL0146,Bronze,Manufacturing,Chennai,Partner,Software,7,16371.25,2581.2,13790.05
INV000039,2023-09-27,CL0077,Bronze,Technology,Bangalore,Partner,Subscription,5,22563.97,2860.26,19703.71
INV000040,2023-01-07,CL0102,Platinum,Retail,Bangalore,Partner,Hardware,11,23350.36,726.89,22623.47
INV000041,2025-06-09,CL0024,Gold,Finance,Bangalore,Online,Subscription,7,3736.16,3099.82,636.34
INV000042,2023-07-25,CL0205,Silver,Healthcare,Mumbai,Partner,Hardware,6,11190.25,2190.79,8999.46
INV000043,2024-06-09,CL0205,Bronze,Healthcare,Bangalore,Partner,Hardware,14,4612.15,2237.99,2374.16
INV000044,2025-03-20,CL0065,Gold,Finance,Hyderabad,Direct Sales,Hardware,4,13347.14,1056.19,12290.95
INV000045,2023-03-02,CL0081,Silver,Retail,Delhi,Direct Sales,Hardware,9,23610.97,6664.02,16946.95
INV000046,2024-06-06,CL0051,Gold,Retail,Bangalore,Direct Sales,Subscription,5,748.34,451.11,297.23
INV000047,2024-09-16,CL0015,Bronze,Technology,Bangalore,Online,Software,13,13505.98,2568.53,10937.45
INV000048,2023-02-06,CL0097,Silver,Finance,Bangalore,Online,Software,1,9291.51,2795.43,6496.08
INV000049,2023-12-27,CL0066,Bronze,Retail,Mumbai,Online,Subscription,3,5691.01,1890.97,3800.04
INV000050,2025-01-27,CL0097,Gold,Technology,Delhi,Direct Sales,Software,9,12680.65,6460.54,6220.11
INV000051,2025-12-23,CL0057,Gold,Technology,Pune,Online,Services,10,6465.14,5427.13,1038.01
INV000052,2024-05-12,CL0134,Bronze,Finance,Delhi,Direct Sales,Software,13,5709.8,3485.08,2224.72
INV000053,2023-09-07,CL0196,Platinum,Manufacturing,Hyderabad,Partner,Hardware,20,18573.83,4378.02,14195.81
INV000054,2025-12-30,CL0235,Gold,Manufacturing,Bangalore,Online,Services,15,23103.54,13027.6,10075.94
INV000055,2025-09-30,CL0179,Bronze,Retail,Pune,Online,Hardware,14,8793.0,4792.4,4000.6
INV000056,2024-01-29,CL0151,Bronze,Retail,Chennai,Direct Sales,Hardware,7,10872.48,6555.1,4317.38
INV000057,2023-08-07,CL0241,Gold,Healthcare,Bangalore,Partner,Services,6,811.64,427.95,383.69
INV000058,2025-04-30,CL0193,Platinum,Manufacturing,Delhi,Online,Software,9,3064.74,2353.81,710.93
INV000059,2025-12-14,CL0187,Silver,Technology,Delhi,Online,Software,20,7945.28,6100.31,1844.97
INV000060,2023-05-24,CL0228,Gold,Finance,Mumbai,Online,Services,15,6644.91,2461.05,4183.86
INV000061,2024-05-31,CL0118,Gold,Healthcare,Bangalore,Direct Sales,Hardware,17,12752.56,7355.66,5396.9
INV000062,2024-04-15,CL0019,Silver,Finance,Mumbai,Online,Software,11,15534.49,8494.4,7040.09
INV000063,2025-03-29,CL0109,Bronze,Manufacturing,Mumbai,Online,Software,1,14727.64,1275.05,13452.59
INV000064,2024-02-04,CL0062,Gold,Healthcare,Chennai,Online,Services,10,21799.37,1503.64,20295.73
INV000065,2023-12-21,CL0049,Bronze,Finance,Chennai,Direct Sales,Software,7,20742.15,10213.81,10528.34
INV000066,2024-09-01,CL0114,Gold,Manufacturing,Pune,Partner,Services,7,10410.68,4820.89,5589.79
INV000067,2024-12-13,CL0179,Silver,Healthcare,Delhi,Partner,Subscription,16,3702.58,2402.22,1300.36
INV000068,2023-12-02,CL0187,Gold,Retail,Chennai,Partner,Services,5,15291.54,7759.44,7532.1
INV000069,2023-09-20,CL0082,Gold,Technology,Bangalore,Partner,Services,4,11184.8,873.88,10310.92
INV000070,2024-08-28,CL0109,Silver,Healthcare,Chennai,Online,Software,16,1306.62,1086.23,220.39
INV000071,2025-03-11,CL0098,Gold,Finance,Delhi,Direct Sales,Services,4,11004.0,5479.83,5524.17
INV000072,2024-02-22,CL0017,Gold,Retail,Chennai,Direct Sales,Subscription,11,24553.63,5405.76,19147.87
INV000073,2024-04-30,CL0075,Gold,Manufacturing,Bangalore,Online,Hardware,10,15043.32,8262.3,6781.02
INV000074,2023-02-25,CL0037,Silver,Manufacturing,Pune,Partner,Hardware,9,13928.74,6800.23,7128.51
INV000075,2024-09-13,CL0215,Gold,Retail,Mumbai,Online,Subscription,3,11138.21,3971.55,7166.66
INV000076,2025-10-20,CL0130,Bronze,Healthcare,Mumbai,Online,Services,18,22053.01,3776.72,18276.29
INV000077,2023-09-22,CL0091,Bronze,Retail,Chennai,Online,Software,15,24145.77,13919.49,10226.28
INV000078,2024-02-19,CL0128,Bronze,Healthcare,Delhi,Online,Hardware,5,16259.06,11198.17,5060.89
INV000079,2025-06-02,CL0221,Platinum,Technology,Pune,Online,Software,10,5019.15,742.19,4276.96
INV000080,2023-04-26,CL0146,Platinum,Technology,Mumbai,Online,Services,19,15817.42,9835.83,5981.59
INV000081,2024-12-14,CL0236,Bronze,Technology,Pune,Direct Sales,Hardware,14,17589.47,2414.54,15174.93
INV000082,2024-06-24,CL0216,Bronze,Manufacturing,Delhi,Direct Sales,Services,20,4850.08,1258.18,3591.9
INV000083,2024-09-13,CL0198,Bronze,Technology,Bangalore,Online,Software,6,12245.89,6224.99,6020.9
INV000084,2025-12-18,CL0083,Platinum,Technology,Mumbai,Online,Services,12,21608.8,4636.33,16972.47
INV000085,2023-12-06,CL0119,Gold,Manufacturing,Delhi,Direct Sales,Hardware,11,648.17,409.67,238.5
INV000086,2023-10-16,CL0103,Silver,Manufacturing,Bangalore,Partner,Software,13,17423.16,914.15,16509.01
INV000087,2024-11-07,CL0085,Silver,Retail,Chennai,Online,Hardware,13,19442.14,8073.16,11368.98
INV000088,2023-11-17,CL0246,Silver,Technology,Chennai,Online,Software,2,24314.71,10741.02,13573.69
INV000089,2023-06-26,CL0187,Gold,Manufacturing,Hyderabad,Partner,Software,6,15947.81,5574.71,10373.1
INV000090,2025-05-27,CL0082,Gold,Healthcare,Pune,Online,Subscription,19,15113.12,8831.7,6281.42
INV000091,2025-02-05,CL0124,Platinum,Manufacturing,Bangalore,Direct Sales,Subscription,20,17431.98,2210.0,15221.98
INV000092,2024-09-06,CL0200,Bronze,Manufacturing,Chennai,Partner,Subscription,7,13625.92,7614.73,6011.19
INV000093,2023-09-06,CL0112,Gold,Retail,Delhi,Online,Hardware,4,8963.42,291.25,8672.17
INV000094,2025-05-29,CL0223,Bronze,Retail,Bangalore,Partner,Hardware,5,23814.08,13968.46,9845.62
INV000095,2024-03-27,CL0089,Bronze,Retail,Bangalore,Online,Hardware,8,19399.26,3956.91,15442.35
INV000096,2024-02-28,CL0048,Platinum,Technology,Mumbai,Direct Sales,Services,12,5727.39,3932.6,1794.79
INV000097,2024-11-22,CL0116,Bronze,Healthcare,Pune,Online,Hardware,13,6475.26,297.87,6177.39
INV000098,2024-08-01,CL0088,Silver,Manufacturing,Hyderabad,Partner,Services,16,19404.98,12599.66,6805.32
INV000099,2025-10-09,CL0138,Bronze,Technology,Chennai,Online,Subscription,12,856.86,216.38,640.48
INV000100,2023-01-08,CL0151,Gold,Technology,Hyderabad,Partner,Services,13,4785.39,1674.12,3111.27
INV000101,2023-12-09,CL0080,Bronze,Retail,Delhi,Direct Sales,Software,3,15274.64,3326.42,11948.22
INV000102,2024-02-19,CL0083,Silver,Healthcare,Chennai,Online,Services,18,3230.65,1252.61,1978.04
INV000103,2025-03-23,CL0223,Gold,Technology,Bangalore,Direct Sales,Services,16,4613.14,2772.89,1840.25
INV000104,2024-01-02,CL0201,Bronze,Retail,Bangalore,Online,Services,12,4651.99,3031.24,1620.75
INV000105,2025-08-19,CL0167,Gold,Finance,Hyderabad,Online,Services,8,4051.69,671.8,3379.89
INV000106,2023-05-08,CL0029,Bronze,Finance,Bangalore,Online,Hardware,11,6585.36,2671.67,3913.69
INV000107,2025-09-29,CL0158,Silver,Healthcare,Mumbai,Partner,Subscription,9,9919.46,1419.52,8499.94
INV000108,2025-05-02,CL0115,Silver,Technology,Pune,Online,Hardware,11,24099.54,13196.55,10902.99
INV000109,2025-08-14,CL0142,Bronze,Healthcare,Chennai,Online,Services,14,19730.17,3237.33,16492.84
INV000110,2023-01-31,CL0064,Bronze,Retail,Chennai,Online,Software,1,2231.7,507.29,1724.41
INV000111,2024-07-05,CL0200,Gold,Healthcare,Mumbai,Direct Sales,Software,14,20031.16,12310.64,7720.52
INV000112,2024-01-04,CL0083,Bronze,Technology,Bangalore,Partner,Services,10,11994.53,5630.8,6363.73
INV000113,2023-03-29,CL0012,Gold,Healthcare,Pune,Direct Sales,Software,9,16125.75,9813.7,6312.05
INV000114,2025-05-02,CL0042,Platinum,Retail,Bangalore,Online,Hardware,6,18753.89,2032.24,16721.65
INV000115,2025-05-22,CL0244,Gold,Retail,Bangalore,Online,Software,20,21157.71,8901.96,12255.75
INV000116,2025-06-21,CL0070,Gold,Finance,Mumbai,Online,Subscription,18,17119.16,6915.6,10203.56
INV000117,2024-12-06,CL0193,Silver,Finance,Pune,Online,Hardware,3,23378.78,11329.28,12049.5
INV000118,2023-05-23,CL0224,Silver,Finance,Pune,Direct Sales,Services,1,4698.86,1148.84,3550.02
INV000119,2024-07-31,CL0225,Bronze,Retail,Pune,Online,Services,12,9936.33,6067.04,3869.29
INV000120,2023-09-29,CL0124,Gold,Finance,Mumbai,Online,Services,12,23756.51,9526.31,14230.2
INV000121,2024-05-11,CL0057,Bronze,Manufacturing,Delhi,Partner,Hardware,16,5638.64,1556.14,4082.5
INV000122,2024-07-23,CL0222,Silver,Healthcare,Pune,Direct Sales,Software,17,16376.62,6878.5,9498.12
INV000123,2025-07-29,CL0004,Platinum,Healthcare,Pune,Partner,Services,18,7369.99,5669.05,1700.94
INV000124,2023-07-04,CL0217,Silver,Finance,Hyderabad,Online,Hardware,1,3906.32,2723.92,1182.4
INV000125,2025-11-14,CL0226,Platinum,Technology,Delhi,Partner,Subscription,19,3022.48,463.69,2558.79
INV000126,2025-11-30,CL0157,Bronze,Manufacturing,Pune,Partner,Services,8,18677.34,14919.12,3758.22
INV000127,2024-12-07,CL0007,Bronze,Healthcare,Delhi,Online,Services,19,8433.9,5297.67,3136.23
INV000128,2024-03-03,CL0203,Bronze,Technology,Bangalore,Direct Sales,Subscription,9,20033.2,8580.03,11453.17
INV000129,2023-04-27,CL0022,Platinum,Healthcare,Pune,Direct Sales,Hardware,7,4823.36,2642.18,2181.18
INV000130,2025-05-25,CL0022,Bronze,Technology,Mumbai,Online,Hardware,17,22352.68,12183.24,10169.44
INV000131,2023-06-09,CL0075,Platinum,Healthcare,Pune,Partner,Services,19,2191.58,637.76,1553.82
INV000132,2025-06-03,CL0188,Silver,Manufacturing,Bangalore,Partner,Hardware,5,22481.37,9140.51,13340.86
INV000133,2025-04-15,CL0096,Platinum,Technology,Chennai,Partner,Software,7,11871.92,2848.79,9023.13
INV000134,2025-10-02,CL0114,Platinum,Finance,Chennai,Partner,Hardware,3,13235.95,6455.64,6780.31
INV000135,2025-06-23,CL0123,Bronze,Healthcare,Bangalore,Online,Hardware,18,14961.68,8513.96,6447.72
INV000136,2025-03-06,CL0081,Platinum,Technology,Delhi,Online,Subscription,2,4699.35,2813.89,1885.46
INV000137,2024-02-10,CL0207,Silver,Retail,Hyderabad,Partner,Services,7,10614.02,3977.06,6636.96
INV000138,2024-07-06,CL0076,Platinum,Technology,Pune,Direct Sales,Hardware,1,9428.01,2242.97,7185.04
INV000139,2023-06-01,CL0132,Bronze,Finance,Delhi,Direct Sales,Services,15,20682.37,14523.45,6158.92
INV000140,2023-03-16,CL0121,Silver,Healthcare,Hyderabad,Partner,Subscription,11,21395.62,11125.39,10270.23
INV000141,2023-03-16,CL0123,Platinum,Retail,Bangalore,Partner,Software,16,5233.49,1414.31,3819.18
INV000142,2025-12-21,CL0200,Platinum,Technology,Chennai,Direct Sales,Software,15,4263.06,794.94,3468.12
INV000143,2023-10-25,CL0101,Silver,Healthcare,Hyderabad,Partner,Hardware,5,1932.42,1013.22,919.2
INV000144,2023-02-13,CL0207,Silver,Manufacturing,Mumbai,Partner,Services,4,6806.84,2258.05,4548.79
INV000145,2025-11-23,CL0185,Bronze,Technology,Bangalore,Partner,Hardware,11,12741.13,7379.99,5361.14
INV000146,2023-01-23,CL0111,Bronze,Technology,Pune,Direct Sales,Subscription,12,500.86,372.83,128.03
INV000147,2024-04-14,CL0148,Silver,Finance,Bangalore,Online,Software,18,19308.89,1195.15,18113.74
INV000148,2024-12-22,CL0240,Gold,Technology,Bangalore,Partner,Software,8,10323.14,3172.62,7150.52
INV000149,2023-04-21,CL0158,Platinum,Finance,Chennai,Direct Sales,Software,15,7517.63,3692.79,3824.84
INV000150,2024-04-01,CL0248,Gold,Retail,Hyderabad,Partner,Services,14,4297.75,698.71,3599.04
INV000151,2023-05-27,CL0151,Platinum,Healthcare,Hyderabad,Partner,Services,16,5722.24,4323.2,1399.04
INV000152,2023-09-06,CL0011,Bronze,Healthcare,Hyderabad,Partner,Subscription,17,15229.17,2381.96,12847.21
INV000153,2024-03-20,CL0211,Platinum,Manufacturing,Bangalore,Online,Subscription,20,22263.6,9631.94,12631.66
INV000154,2024-11-20,CL0223,Bronze,Retail,Pune,Online,Services,13,8060.97,5761.53,2299.44
INV000155,2024-06-03,CL0186,Bronze,Healthcare,Pune,Online,Software,11,22172.18,4640.93,17531.25
INV000156,2024-11-25,CL0059,Platinum,Healthcare,Bangalore,Online,Software,1,14644.93,2733.32,11911.61
INV000157,2024-10-26,CL0067,Gold,Healthcare,Pune,Online,Subscription,8,1238.1,594.07,644.03
INV000158,2024-07-14,CL0212,Bronze,Technology,Chennai,Online,Software,3,22505.67,3660.13,18845.54
INV000159,2023-04-09,CL0047,Silver,Finance,Pune,Online,Hardware,12,22968.86,10009.21,12959.65
INV000160,2025-06-23,CL0066,Platinum,Healthcare,Mumbai,Direct Sales,Subscription,15,22221.87,6234.45,15987.42
INV000161,2024-06-18,CL0202,Silver,Manufacturing,Delhi,Partner,Hardware,12,9041.56,6969.13,2072.43
INV000162,2024-03-17,CL0108,Gold,Manufacturing,Pune,Direct Sales,Services,10,14684.47,12240.7,2443.77
INV000163,2025-01-03,CL0025,Gold,Retail,Hyderabad,Direct Sales,Hardware,15,5476.33,1023.89,4452.44
INV000164,2023-09-08,CL0119,Platinum,Healthcare,Chennai,Online,Subscription,19,10322.6,3752.36,6570.24
INV000165,2024-03-21,CL0126,Silver,Finance,Hyderabad,Online,Services,11,1344.86,259.19,1085.67
INV000166,2025-03-16,CL0045,Silver,Finance,Bangalore,Partner,Software,5,3437.56,549.32,2888.24
INV000167,2025-12-26,CL0183,Gold,Healthcare,Hyderabad,Online,Software,12,21598.19,7715.5,13882.69
INV000168,2024-11-24,CL0136,Gold,Technology,Mumbai,Partner,Hardware,11,7001.31,595.19,6406.12
INV000169,2024-08-14,CL0023,Platinum,Retail,Hyderabad,Partner,Software,16,9903.51,7911.18,1992.33
INV000170,2023-08-03,CL0214,Platinum,Manufacturing,Hyderabad,Online,Subscription,6,20874.33,2253.07,18621.26
INV000171,2025-09-11,CL0157,Platinum,Healthcare,Pune,Direct Sales,Services,4,12080.19,3622.86,8457.33
INV000172,2023-09-04,CL0127,Gold,Healthcare,Mumbai,Partner,Subscription,4,14798.34,13174.43,1623.91
INV000173,2023-01-30,CL0001,Bronze,Finance,Chennai,Online,Subscription,13,15117.18,4344.82,10772.36
INV000174,2024-09-25,CL0032,Silver,Manufacturing,Chennai,Direct Sales,Subscription,7,15097.85,9011.64,6086.21
INV000175,2023-09-27,CL0001,Gold,Retail,Chennai,Online,Subscription,6,16918.92,11860.86,5058.06
INV000176,2023-03-07,CL0056,Silver,Technology,Delhi,Partner,Services,19,10269.8,793.83,9475.97
INV000177,2023-09-05,CL0016,Gold,Healthcare,Hyderabad,Partner,Software,15,13134.25,8455.8,4678.45
INV000178,2025-08-30,CL0117,Bronze,Retail,Chennai,Direct Sales,Services,6,14892.91,7415.74,7477.17
INV000179,2023-06-07,CL0218,Platinum,Manufacturing,Bangalore,Partner,Services,11,21994.43,13477.52,8516.91
INV000180,2023-02-25,CL0179,Platinum,Retail,Chennai,Partner,Software,17,4634.72,1186.12,3448.6
INV000181,2024-10-05,CL0238,Bronze,Healthcare,Hyderabad,Direct Sales,Services,6,16077.28,8642.15,7435.13
INV000182,2025-02-05,CL0169,Platinum,Technology,Bangalore,Partner,Hardware,9,2230.5,444.97,1785.53
INV000183,2025-09-19,CL0004,Silver,Finance,Bangalore,Direct Sales,Services,11,18691.45,7678.62,11012.83
INV000184,2023-02-24,CL0045,Platinum,Manufacturing,Mumbai,Online,Software,5,10149.34,6249.57,3899.77
INV000185,2024-08-23,CL0147,Bronze,Healthcare,Hyderabad,Direct Sales,Software,4,11146.02,4255.55,6890.47
INV000186,2024-08-17,CL0062,Platinum,Finance,Pune,Direct Sales,Subscription,1,6082.21,4623.02,1459.19
INV000187,2025-10-30,CL0054,Bronze,Retail,Delhi,Online,Software,17,20059.7,11930.84,8128.86
INV000188,2024-10-13,CL0187,Silver,Technology,Mumbai,Online,Subscription,7,692.42,584.1,108.32
INV000189,2023-04-23,CL0110,Bronze,Healthcare,Mumbai,Direct Sales,Hardware,14,19433.41,11177.73,8255.68
INV000190,2025-01-17,CL0061,Silver,Healthcare,Chennai,Partner,Services,16,12789.53,9152.32,3637.21
INV000191,2024-06-07,CL0068,Bronze,Finance,Delhi,Online,Subscription,8,2873.65,775.63,2098.02
INV000192,2023-06-18,CL0119,Silver,Retail,Bangalore,Partner,Subscription,3,11746.91,2273.2,9473.71
INV000193,2025-02-07,CL0117,Bronze,Retail,Bangalore,Direct Sales,Services,1,5545.16,1982.1,3563.06
INV000194,2025-07-04,CL0176,Platinum,Healthcare,Mumbai,Direct Sales,Subscription,4,11449.46,2545.21,8904.25
INV000195,2024-07-17,CL0019,Bronze,Finance,Bangalore,Direct Sales,Services,20,21130.45,1224.6,19905.85
INV000196,2024-12-05,CL0088,Bronze,Healthcare,Pune,Online,Hardware,1,21643.3,13605.01,8038.29
INV000197,2023-03-26,CL0170,Platinum,Healthcare,Mumbai,Partner,Subscription,19,7078.45,3901.14,3177.31
INV000198,2024-01-26,CL0166,Gold,Retail,Chennai,Online,Hardware,15,7893.45,4653.11,3240.34
INV000199,2025-07-03,CL0209,Gold,Retail,Delhi,Partner,Subscription,13,21799.14,13879.85,7919.29
INV000200,2023-02-21,CL0096,Bronze,Manufacturing,Mumbai,Online,Services,14,7908.54,6093.22,1815.32
INV000201,2024-11-09,CL0231,Gold,Finance,Mumbai,Direct Sales,Hardware,7,859.7,660.48,199.22
INV000202,2025-04-27,CL0112,Platinum,Healthcare,Pune,Direct Sales,Services,16,15988.49,1105.0,14883.49
INV000203,2024-01-17,CL0236,Gold,Healthcare,Mumbai,Online,Services,3,18172.91,2397.63,15775.28
INV000204,2024-12-21,CL0068,Silver,Technology,Pune,Direct Sales,Subscription,4,6972.04,431.81,6540.23
INV000205,2025-07-06,CL0077,Silver,Manufacturing,Pune,Online,Hardware,2,14738.0,11193.32,3544.68
